timestamp,event,attention_state,window
2026-03-13 23:18:05.088638,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.096049,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.103152,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.110490,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.117282,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.124561,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.131437,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.138733,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.145621,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.166991,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.202501,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.478437,mouse_click,Active Engagement,Visual Studio Code
2026-03-13 23:18:06.471348,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.478401,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.485360,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.492968,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.499773,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.506900,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.512465,window_switch,Attention Shift,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.514181,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.520992,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.528010,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.535395,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.542731,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.549166,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.556173,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.563292,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.570473,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.577237,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.584737,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.591501,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.598740,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.606090,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.612922,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.620240,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.627163,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.634353,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.641439,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.648505,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.655610,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.662788,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
